country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023,continent
India,392465000.0,33.1,66.9,229600000,AS
United States,172606200.0,55.4,44.6,143400000,NA
Indonesia,90183200.0,54.2,45.8,89150000,AS
Pakistan,18593301.0,35.1,64.9,12950000,AS
Nigeria,12635900.0,46.5,53.5,7100000,AF
Brazil,141408300.0,58.3,41.7,113500,SA
Bangladesh,7196900.0,31.3,68.7,4450000,AS
Ethiopia,1105800.0,42.7,57.3,612300,AF
Mexico,48888900.0,54.9,45.1,36700000,NA
Japan,55453200.0,57.7,42.3,45700000,AS
Egypt,19404600.0,46.6,53.4,15350000,AF
Philippines,22161100.0,61.8,38.2,17550000,AS
DR Congo,731100.0,33.8,66.2,503700,Other
Vietnam,,,,10350000,AS
Turkey,58267500.0,47.1,52.9,48650000,AS
Germany,33803000.0,52.6,47.4,27450000,EU
Thailand,19086000.0,60.6,39.4,17350000,AS
United Kingdom,34709300.0,55.0,45.0,28750000,EU
Tanzania,3721200.0,40.6,59.4,2450000,AF
France,29213100.0,55.1,44.9,23750000,EU
South Africa,7298100.0,56.6,43.4,5650000,AF
Italy,30727000.0,54.0,46.0,26200000,EU
Kenya,3224000.0,49.5,50.5,2200000,AF
Myanmar,1418900.0,55.4,44.6,1400000,AS
Colombia,20852000.0,56.9,43.1,17750000,SA
South Korea,24223200.0,56.0,44.0,19250000,AS
Uganda,756400.0,42.6,57.4,447500,AF
Spain,27080600.0,55.3,44.7,21900000,EU
Algeria,11807400.0,46.1,53.9,8400000,AF
Iraq,19181500.0,39.7,60.3,14000000,AS
Argentina,28384600.0,57.3,42.7,23400000,SA
Afghanistan,1240400.0,21.1,78.9,552700,AS
Yemen,1737900.0,27.6,72.4,619200,AS
Canada,19710100.0,54.9,45.1,15900000,NA
Poland,12306700.0,60.2,39.8,10400000,EU
Morocco,12493300.0,47.5,52.5,8700000,AF
Angola,866900.0,45.4,54.6,506800,AF
Ukraine,12606700.0,63.4,36.6,11000000,EU
Uzbekistan,9427600.0,38.1,61.9,4200000,AS
