country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023
India,392465000.0,33.1,66.9,229600000
United States,172606200.0,55.4,44.6,143400000
Indonesia,90183200.0,54.2,45.8,89150000
Pakistan,18593301.0,35.1,64.9,12950000
Nigeria,12635900.0,46.5,53.5,7100000
Brazil,141408300.0,58.3,41.7,113500
Bangladesh,7196900.0,31.3,68.7,4450000
Ethiopia,1105800.0,42.7,57.3,612300
Mexico,48888900.0,54.9,45.1,36700000
Japan,55453200.0,57.7,42.3,45700000
Egypt,19404600.0,46.6,53.4,15350000
Philippines,22161100.0,61.8,38.2,17550000
DR Congo,731100.0,33.8,66.2,503700
Vietnam,8352471.741463414,50.35024390243902,49.65024390243902,10350000
Turkey,58267500.0,47.1,52.9,48650000
Germany,33803000.0,52.6,47.4,27450000
Thailand,19086000.0,60.6,39.4,17350000
United Kingdom,34709300.0,55.0,45.0,28750000
Tanzania,3721200.0,40.6,59.4,2450000
France,29213100.0,55.1,44.9,23750000
South Africa,7298100.0,56.6,43.4,5650000
Italy,30727000.0,54.0,46.0,26200000
Kenya,3224000.0,49.5,50.5,2200000
Myanmar,1418900.0,55.4,44.6,1400000
Colombia,20852000.0,56.9,43.1,17750000
South Korea,24223200.0,56.0,44.0,19250000
Uganda,756400.0,42.6,57.4,447500
Spain,27080600.0,55.3,44.7,21900000
Algeria,11807400.0,46.1,53.9,8400000
Iraq,19181500.0,39.7,60.3,14000000
Argentina,28384600.0,57.3,42.7,23400000
Afghanistan,1240400.0,21.1,78.9,552700
Yemen,1737900.0,27.6,72.4,619200
Canada,19710100.0,54.9,45.1,15900000
Poland,12306700.0,60.2,39.8,10400000
Morocco,12493300.0,47.5,52.5,8700000
Angola,866900.0,45.4,54.6,506800
Ukraine,12606700.0,63.4,36.6,11000000
Uzbekistan,9427600.0,38.1,61.9,4200000
Malaysia,15676300.0,55.6,44.4,13900000
Mozambique,637800.0,48.7,51.3,394000
Ghana,2313700.0,44.2,55.8,1700000
Peru,10340500.0,53.5,46.5,8500000
Saudi Arabia,16958600.0,42.2,57.8,12450000
Madagascar,211100.0,53.2,46.8,140500
Ivory Coast,1181200.0,37.6,62.4,919600
Nepal,4143000.0,42.6,57.4,2150000
Cameroon,643900.0,39.2,60.8,467900
Venezuela,8950200.0,59.7,40.3,6100000
Niger,89201.0,27.5,72.5,79300
Australia,14294000.0,56.6,43.4,11650000
Mali,248501.0,24.9,75.1,183200
Burkina Faso,175701.0,24.9,75.1,133600
Taiwan,11780000.0,56.0,44.0,10100000
Sri Lanka,1837000.0,40.4,59.6,1400000
Malawi,140000.0,41.0,59.0,95600
Zambia,482400.0,46.8,53.2,349800
Kazakhstan,12432500.0,58.6,41.4,10450000
Chad,101600.0,19.2,80.8,61400
Chile,13082800.0,55.8,44.2,10950000
Romania,5784300.0,54.5,45.5,4900000
Somalia,554600.0,47.3,52.7,449600
Senegal,1337400.0,38.5,61.5,931500
Guatemala,3471100.0,53.3,46.7,2850000
Netherlands,8920900.0,56.2,43.8,7650000
Ecuador,6720700.0,55.6,44.4,5750000
Cambodia,1786600.0,55.1,44.9,1750000
Zimbabwe,535900.0,43.2,56.8,381700
Guinea,171900.0,28.7,71.3,139100
Benin,218500.0,36.3,63.7,135500
Rwanda,452800.0,39.2,60.8,264700
Burundi,105300.0,39.3,60.7,63900
Bolivia,2304800.0,52.8,47.2,1750000
Tunisia,3458300.0,52.6,47.4,2750000
South Sudan,58700.0,24.5,75.5,34400
Haiti,601900.0,43.6,56.4,482200
Belgium,5407400.0,55.1,44.9,4600000
Jordan,4015600.0,49.4,50.6,2850000
Dominican Republic,4898200.0,54.4,45.6,3900000
United Arab Emirates,7613800.0,35.3,64.7,4950000
Honduras,1934200.0,58.3,41.7,1500000
Czech Republic,3949200.0,56.9,43.1,3350000
Sweden,6159200.0,56.6,43.4,5700000
Tajikistan,1568800.0,23.9,76.1,802800
Papua New Guinea,91700.0,44.4,55.6,59000
Portugal,6464900.0,55.4,44.6,5300000
Azerbaijan,4279600.0,47.7,52.3,3250000
Greece,4721800.0,53.5,46.5,4050000
Hungary,2929100.0,55.8,44.2,2500000
Togo,178900.0,30.5,69.5,123400
Israel,4598000.0,56.2,43.8,3900000
Austria,3682900.0,53.9,46.1,2900000
Belarus,3912500.0,66.1,33.9,3400000
Switzerland,4132000.0,51.8,48.2,3500000
Sierra Leone,107300.0,45.0,55.0,85600
Laos,584200.0,57.4,42.6,488900
