country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Population,Percentage
India,392465000.0,33.1,66.9,229600000,1.166,0.653,0.417,0.767,1428627663.0,27.471468610362475
United States,172606200.0,55.4,44.6,143400000,1.939,1.392,0.542,0.586,334421883.0,51.61330904891771
Indonesia,90183200.0,54.2,45.8,89150000,1.361,1.184,0.472,0.779,281529456.0,32.03330879877806
Pakistan,18593301.0,35.1,64.9,12950000,1.069,0.6,0.321,0.542,248440726.0,7.483998819098605
Nigeria,12635900.0,46.5,53.5,7100000,1.042,1.075,0.256,0.566,240120715.0,5.262311500280182
Brazil,141408300.0,58.3,41.7,113500,1.43,1.269,0.548,0.685,216919163.0,65.18939961058211
Bangladesh,7196900.0,31.3,68.7,4450000,1.122,0.249,0.513,0.775,173766723.0,4.1417020910269455
Ethiopia,1105800.0,42.7,57.3,612300,0.792,0.915,0.42,0.441,127419470.0,0.8678422536210518
Mexico,48888900.0,54.9,45.1,36700000,1.521,1.241,0.544,0.722,129959580.0,37.618542626869065
Japan,55453200.0,57.7,42.3,45700000,1.786,1.354,0.785,0.632,122128332.0,45.40568031339362
Egypt,19404600.0,46.6,53.4,15350000,1.37,0.996,0.488,0.49,112716781.0,17.215360328645296
Philippines,22161100.0,61.8,38.2,17550000,1.232,1.146,0.441,0.826,117337368.0,18.886651693090645
Vietnam,8352471.741463414,50.35024390243902,49.65024390243902,10350000,1.331,1.267,0.539,0.843,100763940.0,8.28914762708109
Germany,33803000.0,52.6,47.4,27450000,1.871,1.39,0.702,0.7,83874509.0,40.301875269398
Thailand,19086000.0,60.6,39.4,17350000,1.484,1.347,0.62,0.756,71802984.0,26.58106799572564
United Kingdom,34709300.0,55.0,45.0,28750000,1.822,1.326,0.672,0.713,68281673.0,50.832527199501975
Tanzania,3721200.0,40.6,59.4,2450000,0.82,0.706,0.38,0.709,67464093.0,5.515823061609973
France,29213100.0,55.1,44.9,23750000,1.818,1.348,0.727,0.65,64506388.0,45.28714272453141
South Africa,7298100.0,56.6,43.4,5650000,1.389,1.369,0.322,0.537,61243150.0,11.916598019533613
Italy,30727000.0,54.0,46.0,26200000,1.8,1.328,0.72,0.513,59013028.0,52.06816366040393
Kenya,3224000.0,49.5,50.5,2200000,1.037,0.895,0.353,0.519,56614949.0,5.6946090333844515
Myanmar,1418900.0,55.4,44.6,1400000,0.978,0.988,0.436,0.45,55172204.0,2.571766029140326
Colombia,20852000.0,56.9,43.1,17750000,1.437,1.241,0.648,0.644,52901156.0,39.41690801614997
South Korea,24223200.0,56.0,44.0,19250000,1.815,1.178,0.77,0.555,51760429.0,46.798684763605806
Uganda,756400.0,42.6,57.4,447500,0.772,1.151,0.373,0.587,48582334.0,1.5569445469622765
Spain,27080600.0,55.3,44.7,21900000,1.766,1.471,0.729,0.619,47836732.0,56.61047247123822
Algeria,11807400.0,46.1,53.9,8400000,1.324,1.191,0.568,0.247,46856373.0,25.19913353088597
Iraq,19181500.0,39.7,60.3,14000000,1.249,0.996,0.498,0.425,45891776.0,41.79724925006171
Argentina,28384600.0,57.3,42.7,23400000,1.562,1.381,0.585,0.681,46148495.0,61.507097902109265
Afghanistan,1240400.0,21.1,78.9,552700,0.628,0.0,0.242,0.0,42239430.0,2.9365926576187227
Yemen,1737900.0,27.6,72.4,619200,0.671,1.281,0.293,0.362,34803178.0,4.993509500770303
Canada,19710100.0,54.9,45.1,15900000,1.84,1.459,0.701,0.73,39065844.0,50.45353685434263
Poland,12306700.0,60.2,39.8,10400000,1.738,1.417,0.639,0.6,37442651.0,32.86813212023903
Morocco,12493300.0,47.5,52.5,8700000,1.213,0.471,0.495,0.631,37133938.0,33.64388662468279
